Submitted job with ID: 43340.master_ubss1
Compile opt: -O2
Seed: 42
[1] 23:51:34 [SUCCESS] master_ubss2

Authorized users only. All activities may be monitored and reported.

Authorized users only. All activities may be monitored and reported.
[1] 23:51:34 [SUCCESS] master_ubss2
[gkh] iter=0 total_blocks=1 lens=[5] non_singleton=1
[gkh] iter=1 total_blocks=1 lens=[5] non_singleton=1
[gkh] iter=2 total_blocks=1 lens=[5] non_singleton=1
[gkh] iter=3 total_blocks=1 lens=[5] non_singleton=1
[gkh] iter=4 total_blocks=2 lens=[4,1] non_singleton=1
[gkh] iter=5 total_blocks=2 lens=[4,1] non_singleton=1
[gkh] iter=6 total_blocks=3 lens=[3,1,1] non_singleton=1
[gkh] iter=7 total_blocks=3 lens=[3,1,1] non_singleton=1
[gkh] iter=8 total_blocks=4 lens=[2,1,1,1] non_singleton=1
[gkh] iter=9 total_blocks=5 lens=[1,1,1,1,1] non_singleton=0
[gkh] iter=0 total_blocks=1 lens=[8] non_singleton=1
[gkh] iter=1 total_blocks=1 lens=[8] non_singleton=1
[gkh] iter=2 total_blocks=1 lens=[8] non_singleton=1
[gkh] iter=3 total_blocks=2 lens=[7,1] non_singleton=1
[gkh] iter=4 total_blocks=2 lens=[7,1] non_singleton=1
[gkh] iter=5 total_blocks=2 lens=[7,1] non_singleton=1
[gkh] iter=6 total_blocks=3 lens=[6,1,1] non_singleton=1
[gkh] iter=7 total_blocks=3 lens=[6,1,1] non_singleton=1
[gkh] iter=8 total_blocks=4 lens=[5,1,1,1] non_singleton=1
[gkh] iter=9 total_blocks=4 lens=[5,1,1,1] non_singleton=1
[gkh] iter=10 total_blocks=5 lens=[4,1,1,1,1] non_singleton=1
[gkh] iter=11 total_blocks=5 lens=[4,1,1,1,1] non_singleton=1
[gkh] iter=12 total_blocks=6 lens=[3,1,1,1,1,1] non_singleton=1
[gkh] iter=13 total_blocks=7 lens=[2,1,1,1,1,1,1] non_singleton=1
[gkh] iter=14 total_blocks=8 lens=[1,1,1,1,1,1,1,1] non_singleton=0
[gkh] iter=0 total_blocks=1 lens=[8] non_singleton=1
[gkh] iter=1 total_blocks=1 lens=[8] non_singleton=1
[gkh] iter=2 total_blocks=1 lens=[8] non_singleton=1
[gkh] iter=3 total_blocks=2 lens=[7,1] non_singleton=1
[gkh] iter=4 total_blocks=2 lens=[7,1] non_singleton=1
[gkh] iter=5 total_blocks=2 lens=[7,1] non_singleton=1
[gkh] iter=6 total_blocks=3 lens=[6,1,1] non_singleton=1
[gkh] iter=7 total_blocks=3 lens=[6,1,1] non_singleton=1
[gkh] iter=8 total_blocks=3 lens=[6,1,1] non_singleton=1
[gkh] iter=9 total_blocks=4 lens=[5,1,1,1] non_singleton=1
[gkh] iter=10 total_blocks=4 lens=[5,1,1,1] non_singleton=1
[gkh] iter=11 total_blocks=5 lens=[4,1,1,1,1] non_singleton=1
[gkh] iter=12 total_blocks=5 lens=[4,1,1,1,1] non_singleton=1
[gkh] iter=13 total_blocks=6 lens=[3,1,1,1,1,1] non_singleton=1
[gkh] iter=14 total_blocks=7 lens=[2,1,1,1,1,1,1] non_singleton=1
[gkh] iter=15 total_blocks=8 lens=[1,1,1,1,1,1,1,1] non_singleton=0
[gkh] iter=0 total_blocks=1 lens=[8] non_singleton=1
[gkh] iter=1 total_blocks=1 lens=[8] non_singleton=1
[gkh] iter=2 total_blocks=1 lens=[8] non_singleton=1
[gkh] iter=3 total_blocks=2 lens=[7,1] non_singleton=1
[gkh] iter=4 total_blocks=2 lens=[7,1] non_singleton=1
[gkh] iter=5 total_blocks=2 lens=[7,1] non_singleton=1
[gkh] iter=6 total_blocks=3 lens=[6,1,1] non_singleton=1
[gkh] iter=7 total_blocks=3 lens=[6,1,1] non_singleton=1
[gkh] iter=8 total_blocks=3 lens=[6,1,1] non_singleton=1
[gkh] iter=9 total_blocks=4 lens=[5,1,1,1] non_singleton=1
[gkh] iter=10 total_blocks=5 lens=[4,1,1,1,1] non_singleton=1
[gkh] iter=11 total_blocks=6 lens=[3,1,1,1,1,1] non_singleton=1
[gkh] iter=12 total_blocks=7 lens=[2,1,1,1,1,1,1] non_singleton=1
[gkh] iter=13 total_blocks=8 lens=[1,1,1,1,1,1,1,1] non_singleton=0
[gkh] iter=0 total_blocks=1 lens=[1000] non_singleton=1
[gkh] iter=1 total_blocks=1 lens=[1000] non_singleton=1
[gkh] iter=2 total_blocks=1 lens=[1000] non_singleton=1
[gkh] iter=3 total_blocks=1 lens=[1000] non_singleton=1
[gkh] iter=4 total_blocks=2 lens=[999,1] non_singleton=1
[gkh] iter=5 total_blocks=3 lens=[998,1,1] non_singleton=1
[gkh] iter=6 total_blocks=3 lens=[998,1,1] non_singleton=1
[gkh] iter=7 total_blocks=3 lens=[998,1,1] non_singleton=1
[gkh] iter=8 total_blocks=3 lens=[998,1,1] non_singleton=1
[gkh] iter=9 total_blocks=4 lens=[997,1,1,1] non_singleton=1
[gkh] iter=10 total_blocks=4 lens=[997,1,1,1] non_singleton=1
[gkh] iter=11 total_blocks=5 lens=[996,1,1,1,1] non_singleton=1
[gkh] iter=12 total_blocks=5 lens=[996,1,1,1,1] non_singleton=1
[gkh] iter=13 total_blocks=6 lens=[995,1,1,1,1,1] non_singleton=1
[gkh] iter=14 total_blocks=6 lens=[995,1,1,1,1,1] non_singleton=1
[gkh] iter=15 total_blocks=7 lens=[994,1,1,1,1,1,1] non_singleton=1
[gkh] iter=16 total_blocks=7 lens=[994,1,1,1,1,1,1] non_singleton=1
[gkh] iter=17 total_blocks=7 lens=[994,1,1,1,1,1,1] non_singleton=1
[gkh] iter=18 total_blocks=8 lens=[993,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=19 total_blocks=8 lens=[993,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=20 total_blocks=9 lens=[992,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=21 total_blocks=10 lens=[991,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=22 total_blocks=10 lens=[991,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=23 total_blocks=11 lens=[990,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=24 total_blocks=11 lens=[990,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=25 total_blocks=11 lens=[990,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=26 total_blocks=12 lens=[989,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=27 total_blocks=12 lens=[989,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
